run,avarage
0,380.44456654456656
1,364.5262579384465
2,347.53938584779706
3,355.74206107799
4,341.8569172841006
5,425.07452424800493
6,390.1937538273117
7,430.1569280078895
8,448.7763791188449
9,366.6083881980005
