run,avarage
0,420.01944615384616
1,494.78460583488516
2,362.6213082743471
3,403.14199803632795
4,387.7594316511514
5,525.0324634785866
6,407.8732325095291
7,392.7514089683901
8,447.05877268798616
9,459.29464175225837
